County,2017 NAICS code (NAICS2017),Meaning of NAICS Code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),GeoFIPS,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
autauga alabama,0,Total for all sectors,All establishments,All establishments,2021,924,"4,24,826","97,944","11,216"," ""01001""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,1762558,1826642,1804013,1813553,1947622,2364891
baldwin alabama,0,Total for all sectors,All establishments,All establishments,2021,"5,992","27,23,499","6,01,772","65,335"," ""01003""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,7382558,7935575,8563693,8762106,9879022,10811119
barbour alabama,0,Total for all sectors,All establishments,All establishments,2021,423,"2,39,521","56,455","6,085"," ""01005""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,761761,789103,793908,786529,862519,930064
bibb alabama,0,Total for all sectors,All establishments,All establishments,2021,298,"1,85,469","41,603","4,008"," ""01007""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,406741,408791,466293,501320,528278,558848
blount alabama,0,Total for all sectors,All establishments,All establishments,2021,726,"2,57,981","58,245","6,765"," ""01009""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,987967,1064218,1058218,973414,1153245,1282006
bullock alabama,0,Total for all sectors,All establishments,All establishments,2021,114,"78,323","17,139","1,958"," ""01011""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,244958,259251,274471,285245,292169,294277
butler alabama,0,Total for all sectors,All establishments,All establishments,2021,430,"2,10,746","49,131","5,875"," ""01013""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,630225,666661,658243,636591,732165,820976
calhoun alabama,0,Total for all sectors,All establishments,All establishments,2021,"2,222","13,61,086","3,22,154","34,539"," ""01015""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,4244400,4456595,4755016,4727646,5142683,5466368
chambers alabama,0,Total for all sectors,All establishments,All establishments,2021,599,"2,86,456","71,373","7,552"," ""01017""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,872734,921262,962243,922772,945282,1031827
cherokee alabama,0,Total for all sectors,All establishments,All establishments,2021,369,"1,51,781","36,593","4,428"," ""01019""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,558805,600426,594576,566821,663952,735077
chilton alabama,0,Total for all sectors,All establishments,All establishments,2021,775,"3,07,676","70,307","7,430"," ""01021""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,983589,1055223,1160363,1140799,1244667,1323268
